2018,5,DAL,Trae Young,Oklahoma
2018,6,ORL,Mo Bamba,Texas
2018,7,CHI,Wendell Carter Jr.,Duke
2018,8,CLE,Collin Sexton,Alabama
2018,9,NYK,Kevin Knox,Kentucky
2018,10,PHI,Mikal Bridges,Villanova
2018,11,CHO,Shai Gilgeous-Alexander,Kentucky
2018,12,LAC,Miles Bridges,Michigan State
2018,13,LAC,Jerome Robinson,Boston College
2018,14,DEN,Michael Porter Jr.,Missouri
2018,15,WAS,Troy Brown Jr.,Oregon
2018,16,PHO,Zhaire Smith,Texas Tech
2018,17,MIL,Donte DiVincenzo,Villanova
2018,18,SAS,Lonnie Walker,Miami (FL)
2018,19,ATL,Kevin Huerter,Maryland
2018,20,MIN,Josh Okogie,Georgia Tech
2018,21,UTA,Grayson Allen,Duke
2018,22,CHI,Chandler Hutchison,Boise State
2018,23,IND,Aaron Holiday,UCLA
2018,24,POR,Anfernee Simons,
2018,25,LAL,Moritz Wagner,Michigan
2018,26,PHI,Landry Shamet,Wichita State
2018,27,BOS,Robert Williams,Texas A&M
2018,28,GSW,Jacob Evans,Cincinnati
2018,29,BRK,Džanan Musa,
2018,30,ATL,Omari Spellman,Villanova
2018,31,PHO,Elie Okobo,
2018,32,MEM,Jevon Carter,West Virginia
2018,33,DAL,Jalen Brunson,Villanova
2018,34,ATL,Devonte' Graham,Kansas
2018,35,ORL,Melvin Frazier,Tulane
2018,36,NYK,Mitchell Robinson,
2018,37,SAC,Gary Trent Jr.,Duke
2018,38,PHI,Khyri Thomas,Creighton
2018,39,PHI,Isaac Bonga,
2018,40,BRK,Rodions Kurucs,
2018,41,ORL,Jarred Vanderbilt,Kentucky
2018,42,DET,Bruce Brown,Miami (FL)
2018,43,DEN,Justin Jackson,Maryland
2018,44,WAS,Issuf Sanon,
2018,45,BRK,Hamidou Diallo,Kentucky
2018,46,HOU,De'Anthony Melton,USC
2018,47,LAL,Svi Mykhailiuk,Kansas
2018,48,MIN,Keita Bates-Diop,Ohio State
2018,49,SAS,Chimezie Metu,USC
2018,50,IND,Alize Johnson,Missouri State
2018,51,NOP,Tony Carr,Penn State
2018,52,UTA,Vince Edwards,Purdue
2018,53,OKC,Devon Hall,Virginia
2018,54,DAL,Shake Milton,SMU
2018,55,CHO,Arnoldas Kulboka,
2018,56,PHI,Ray Spalding,Louisville
2018,57,OKC,Kevin Hervey,UT Arlington
2018,58,DEN,Thomas Welsh,UCLA
2018,59,PHO,George King,Colorado
2018,60,PHI,Kostas Antetokounmpo,Dayton
