1,31.7,25.7,3.2,7
2,31.9,19.2,7.3,4.1
3,32.7,15.9,2.7,5.5
4,30.9,12.8,1.7,4.4
5,32.4,15.3,5.3,2.2
6,19.9,7.6,1.3,3.1
7,27.9,13.7,3.6,3.8
8,15.9,7.2,0.7,4
9,30.9,13.7,1.6,5.8
10,26.4,10.9,1.3,3.6
11,22.9,9.1,1.3,3.3
12,29.8,12.4,2.3,5.9
13,29.6,15.4,3,4.7
14,14.6,3.2,0.5,1.9
15,17.1,5.6,0.7,2.8
16,24.1,7.5,2,4
17,19.6,9.5,2.2,2.8
18,10.2,3.9,0.5,2.5
19,9.9,3.8,0.6,2.2
20,20.5,4.5,1.1,1.8
21,22.3,10.7,1.5,5.6
22,17.2,4.5,1,2.8
23,25,9.3,1.2,5.7
24,16.5,7.1,2.2,1.9
25,14.4,4.8,0.5,3
26,14.8,4.4,1.1,2.9
27,6.7,2.7,0.4,1.4
28,22.5,11.7,2.3,2.1
29,27.3,12.6,1.7,5.6
30,27.2,12.4,4,3.7
31,16.8,6,0.9,4.5
32,10.3,2.2,0.4,1.7
33,9.2,3.6,0.6,1.1
34,9.9,3,0.6,2.9
35,12.6,1.6,0.8,1
36,18.8,5,1.9,3.4
37,6.7,2.1,0.3,1.5
38,15.5,6.7,0.6,3.9
39,7.7,3,0.6,1.5
40,7.5,3.2,0.6,0.9
41,21.7,10.8,1.6,3.7
42,11.2,3,0.5,1.4
43,14.3,6.8,1.3,1.7
44,6,2.5,0.3,1.2
45,20.9,8,1.5,5
46,20.7,9,2.6,2.8
47,11.9,3.8,0.8,2
48,17.2,6.1,1.6,3.1
49,6.4,1.9,0.6,0.6
50,6.3,2.4,0.7,1.3
51,9.6,3.8,2.1,0.9
52,18,6.5,1,3.6
53,11.3,4.8,1.8,1.3
54,7,2.8,0.3,1.8
55,7.2,2.7,1,1.1
57,10.4,2.8,1.1,1.2
58,8.9,1.9,0.5,1.4
59,4.7,2.3,0.5,2.3
