1,4,193,5990
2,4,126,3153
3,4,216,7218
4,4,147,3960
5,4,226,7495
6,4,177,3024
7,4,164,4400
8,4,218,7179
9,4,186,3803
10,4,248,7531
11,4,206,6445
12,4,235,6491
13,3,113,1604
14,3,125,3080
15,4,168,3160
16,2,13,143
17,3,159,3745
18,4,157,3058
19,4,221,6478
20,4,209,4724
21,4,148,3027
22,4,100,1777
23,4,203,3807
24,4,175,3189
25,4,154,2238
26,4,213,5028
27,4,128,2104
28,2,59,622
29,2,49,526
30,2,95,1691
31,2,108,1677
32,4,178,2524
33,4,217,4852
34,4,185,5193
35,2,29,170
36,4,176,4083
37,4,154,3933
38,3,39,409
39,4,134,1833
40,3,131,2103
41,4,113,1723
42,4,215,4959
43,0,0,0
44,0,0,0
45,4,164,2860
46,4,180,3644
47,4,186,3443
48,4,119,1703
49,4,95,1016
50,4,62,468
51,0,0,0
52,1,2,16
53,1,11,81
54,4,140,2962
55,0,0,0
56,2,16,167
57,1,10,52
58,1,11,36
59,1,1,6
60,3,22,87
