1,59.1,19,74.6
2,49.9,31.3,66.1
3,45.7,33.2,73.1
4,46.9,36.9,77.9
5,43.5,34.8,86.4
6,46.7,32.6,65.3
7,50.9,29.6,74.3
8,45.8,37.8,82.7
9,36.9,34.4,70.2
10,50.1,37.7,83.1
11,47.3,35.9,80.3
12,46,34.9,80.2
13,36.3,31,72.1
14,51.8,41.9,79.5
15,43.2,33.1,74.9
16,37.8,31.6,66.7
17,43.2,34.9,72.8
18,41.1,35.2,78
19,42.6,37.5,78.1
20,40.2,27,75.8
21,43.1,39.3,83.8
22,44.3,30.9,63.8
23,40.3,37,82.8
24,42,38.3,81
25,47.8,32.5,80.5
26,41.3,39.6,83.3
27,72.3,0,62.1
28,33.7,31.5,83.3
29,37.6,22.7,72.6
30,41.7,36.6,76.6
31,39.5,31.5,73.7
32,37.6,37.3,80
33,49,37.1,77.7
34,37.6,36.3,81.9
35,40,36.4,37.5
36,71.2,0,57
37,42,39,81
38,38.8,31.6,75
39,43.5,29.7,76.4
40,44.4,32.9,73.9
41,58,7.7,62.2
42,47.3,30,74
45,46.8,28.8,63.9
46,40.9,35,77.3
47,40.4,36,78.1
48,43.1,29,69.7
49,45.6,28.4,73.9
50,50.7,29.4,75
52,25,25,0
53,20,23.5,50
54,45.5,36.6,82.5
56,52.9,0,28.6
57,25.9,15,0
58,53.8,42.9,50
59,0,0,0
60,37.5,0,47.4
