1,1,Zion Williamson
2,2,Ja Morant
3,3,RJ Barrett
4,4,De'Andre Hunter
5,5,Darius Garland
6,6,Jarrett Culver
7,7,Coby White
8,8,Jaxson Hayes
9,9,Rui Hachimura
10,10,Cam Reddish
11,11,Cameron Johnson
12,12,P.J. Washington
13,13,Tyler Herro
14,14,Romeo Langford
15,15,Sekou Doumbouya
16,16,Chuma Okeke
17,17,Nickeil Alexander-Walker
18,18,Goga Bitadze
19,19,Luka Šamanić
20,20,Matisse Thybulle
21,21,Brandon Clarke
22,22,Grant Williams
23,23,Darius Bazley
24,24,Ty Jerome
25,25,Nassir Little
26,26,Dylan Windler
27,27,Mfiondu Kabengele
28,28,Jordan Poole
29,29,Keldon Johnson
30,30,Kevin Porter Jr.
31,31,Nicolas Claxton
32,32,KZ Okpala
33,33,Carsen Edwards
34,34,Bruno Fernando
35,35,Didi Louzada
36,36,Cody Martin
37,37,Deividas Sirvydis
38,38,Daniel Gafford
39,39,Alen Smailagić
40,40,Justin James
41,41,Eric Paschall
42,42,Admiral Schofield
43,43,Jaylen Nowell
44,44,Bol Bol
45,45,Isaiah Roby
46,46,Talen Horton-Tucker
47,47,Ignas Brazdeikis
48,48,Terance Mann
49,49,Quinndary Weatherspoon
50,50,Jarrell Brantley
51,51,Tremont Waters
52,52,Jalen McDaniels
53,53,Justin Wright-Foreman
54,54,Marial Shayok
55,55,Kyle Guy
56,56,Jaylen Hands
57,57,Jordan Bone
58,58,Miye Oni
59,59,Dewan Hernandez
60,60,Vanja Marinković
