1,2,85,2694
2,3,149,4746
3,3,149,4871
4,3,97,3002
5,3,133,4307
6,3,103,2054
7,3,143,3988
8,3,143,2276
9,2,105,3241
10,3,105,2773
11,3,138,3163
12,3,134,3994
13,3,128,3784
14,3,67,976
15,3,96,1639
16,2,62,1493
17,3,117,2292
18,3,115,1170
19,2,36,356
20,3,145,2968
21,3,135,3004
22,3,154,2648
23,3,137,3430
24,3,82,1353
25,3,117,1683
26,2,47,695
27,2,51,344
28,3,129,2901
29,3,105,2866
30,3,94,2553
31,3,51,857
32,3,52,536
33,2,68,627
34,3,96,952
35,2,5,63
36,3,122,2294
37,1,20,133
38,3,116,1801
39,2,29,223
40,2,72,542
41,3,119,2579
42,1,33,368
43,3,68,974
44,3,49,294
45,3,75,1571
46,3,81,1673
47,3,33,394
48,3,129,2220
49,2,31,199
50,2,37,234
51,2,37,357
52,3,85,1528
53,1,4,45
54,1,4,28
55,2,34,245
56,,,
57,2,24,249
58,3,74,658
59,1,6,28
60,,,
