,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
PID,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
35,35,35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,.555,.200,.743,14.6,5.7,4.3,1.0,3.2,.125,-1.7,0.1
36,36,36,PHI,Jonah Bolden,,2,51,686,217,174,40,.486,.340,.484,13.5,4.3,3.4,0.8,1.4,.098,-1.3,0.1
37,37,37,BOS,Semi Ojeleye,SMU,5,264,3905,910,579,120,.388,.344,.698,14.8,3.4,2.2,0.5,5.0,.061,-3.4,-1.4
38,38,38,CHI,Jordan Bell,Oregon,4,160,1935,593,496,201,.552,.200,.636,12.1,3.7,3.1,1.3,4.9,.121,0.2,1.1
39,39,39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,.345,.263,.776,15.1,4.2,1.7,2.0,-0.4,-.022,-5.4,-0.7
40,40,40,NOP,Dwayne Bacon,Florida State,4,207,4012,1503,537,230,.402,.314,.780,19.4,7.3,2.6,1.1,0.8,.010,-5.0,-3.1
41,41,41,ATL,Tyler Dorsey,Oregon,2,104,1672,701,243,135,.389,.350,.669,16.1,6.7,2.3,1.3,1.0,.030,-3.1,-0.5
42,42,42,UTA,Thomas Bryant,Indiana,4,143,2986,1532,863,196,.600,.362,.748,20.9,10.7,6.0,1.4,10.5,.169,1.8,2.8
43,43,43,HOU,Isaiah Hartenstein,,4,110,1259,491,386,104,.578,.263,.662,11.4,4.5,3.5,0.9,4.1,.156,-1.1,0.3
44,44,44,NYK,Damyean Dotson,Oregon,4,211,4221,1590,530,314,.417,.346,.711,20.0,7.5,2.5,1.5,3.0,.034,-2.8,-0.9
45,45,45,HOU,Dillon Brooks,Oregon,5,243,6868,3424,738,467,.420,.355,.791,28.3,14.1,3.0,1.9,3.9,.027,-4.1,-3.7
46,46,46,PHI,Sterling Brown,SMU,5,227,3949,1294,768,240,.420,.365,.784,17.4,5.7,3.4,1.1,5.6,.068,-2.2,-0.2
47,47,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,.333,,.833,2.6,0.9,0.9,0.1,0.0,.057,-1.1,0.0
48,48,48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,.407,.340,.672,10.8,2.5,1.3,0.7,1.1,.032,-3.1,-0.5
49,49,49,DEN,Vlatko Čančar,,2,55,326,102,60,17,.448,.256,.824,5.9,1.9,1.1,0.3,0.4,.054,-3.0,-0.1
50,50,50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
51,51,51,DEN,Monte Morris,Iowa State,5,219,5243,2161,468,767,.478,.384,.809,23.9,9.9,2.1,3.5,13.9,.127,0.2,2.9
52,52,52,NOP,Edmond Sumner,Xavier,4,108,1520,619,165,114,.474,.333,.728,14.1,5.7,1.5,1.1,1.9,.061,-3.2,-0.5
53,53,53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,.435,.349,.757,13.6,5.5,1.5,2.3,1.0,.075,-1.0,0.2
54,54,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,.378,.310,.800,11.3,4.1,1.9,0.6,0.3,.055,-2.8,0.0
55,55,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,.313,.286,1.000,5.0,1.4,0.6,0.6,0.0,.017,-3.9,0.0
56,56,56,BOS,Jabari Bird,California,1,13,115,39,19,8,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,.098,-3.1,0.0
57,57,57,BRK,Sasha Vezenkov,,,,,,,,,,,,,,,,,,
58,58,58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
59,59,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,.443,.256,.769,16.3,4.2,3.6,0.5,0.3,.030,-3.8,-0.2
60,60,60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,
