1,60.4,33.3,68.3
2,46.5,32.3,75.4
3,42.1,36.1,68.4
4,43.2,35.2,78.2
5,43.3,37.1,85.6
6,40.7,28.8,50.9
7,40.4,35.2,84.2
8,63.1,37.9,70.3
9,47.3,31.3,79.7
10,38.5,32.3,82.3
11,42.4,37.1,81
12,45,38.9,70
13,43.7,37.8,84.2
14,36.4,31.3,72.9
15,38.8,25.6,69.3
16,40.6,31.4,79.4
17,39,33,73.5
18,42.5,21.9,72.1
19,43,29.4,57.6
20,43.4,32.7,60
21,57,28.9,71.8
22,44.3,34.8,69.8
23,38.8,30.2,68.9
24,41.3,37.4,79.2
25,45.8,30.7,74.6
26,44,35,77.4
27,38.8,31.4,84
28,39.9,32.4,85.3
29,48.7,36.9,73
30,41.8,32.2,70.1
31,60.1,16.7,48.9
32,37.3,21.7,60
33,37.2,30.2,75
34,49.8,12.8,60.3
35,18.8,18.2,0
36,44.6,30.5,64.3
37,35,35.7,50
38,68.5,0,63.2
39,46.3,30.4,72
40,44.6,34.3,54.4
41,49.2,29.7,75.2
42,38,31.1,66.7
43,41.1,29.3,85.1
44,45.5,36.1,67.9
45,48.8,29.5,74.2
46,44.5,28.5,79.1
47,36.4,28.3,71.4
48,48.9,38.5,79.8
49,40.4,18.2,77.8
50,43.8,36.6,75
51,36.1,30.6,96
52,47.9,37,70.8
53,35,20,75
54,25,33.3,75
55,33.3,26.5,80
57,37.8,28.6,0
58,35.3,33.3,75
59,35.7,50,60
