1,2,87,2859
2,1,39,836
3,2,67,1989
4,2,76,2108
5,2,77,2464
6,1,50,601
7,2,39,999
8,2,77,909
9,2,69,1582
10,2,30,180
11,2,77,1443
12,2,71,2176
13,2,67,1073
14,2,58,785
15,2,62,1786
16,2,82,1800
17,2,59,1299
18,2,46,482
19,2,84,2364
20,2,74,1051
21,2,77,1506
22,2,47,447
23,1,5,16
24,2,66,1158
25,2,79,1506
26,2,79,1396
27,2,19,65
28,2,78,1892
29,2,57,992
30,2,83,1950
31,1,11,56
32,2,20,116
33,1,30,161
34,2,74,1906
35,2,70,1223
36,1,18,71
37,1,3,9
38,2,53,817
39,2,22,75
40,1,13,45
41,2,50,373
42,2,30,174
43,2,16,120
44,0,0,0
45,2,45,577
46,2,37,230
47,0,0,0
48,1,30,364
49,2,50,463
50,2,39,287
51,0,0,0
52,2,59,1269
53,1,22,98
54,1,24,93
55,2,9,115
56,1,7,27
57,1,26,211
58,2,38,306
59,1,13,172
60,2,36,291
